;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;
BB;276;Potsdam;56;838,5;237;241,3 ;118,7;233,3;288;15,8  ;4,2  ;7,9  ;15,8  ;36,6  ;19,7  ;5,7  ;9,8  ;62,6  ;49,6  ;+   8,8;siehe Wkr 275;siehe Wkr 275;siehe Wkr 275;siehe Wkr 275;siehe Wkr 275;0,4;26,1;558,7 ;85,7  ;12,4  ;431,9;461,5 ;1,5    ;22,9    ;20,0    ;55,6    ;9,8  ;12,4;
BB;277;Fürstenwalde – Strausberg – Seelow;140;2 455,6;230;234,2 ;116,0;228,8;95;16,5  ;4,8  ;7,9  ;14,7  ;36,1  ;20,0  ;5,7  ;10,2  ;50,6  ;32,1  ;+  14,0;3,7  ;36,4 ;17,6 ;11,0 ;35,0;0,3;16,3;593,0 ;86,1  ;6,7  ;419,9;303,7 ;5,2    ;33,1    ;20,8    ;40,9    ;15,7  ;19,0;
BB;278;Luckenwalde – Zossen – Jüterbog – Königs Wusterhausen;166;2 844,8;237;244,2 ;120,5;238,7;86;16,0  ;4,3  ;7,4  ;15,5  ;36,4  ;20,4  ;6,1  ;11,0  ;51,5  ;29,8  ;+  16,7;3,1  ;43,5 ;20,4 ;11,7 ;24,4;0,5;34,4;590,0 ;86,1  ;11,5  ;419,0;330,3 ;4,6    ;36,2    ;24,4    ;34,8    ;13,3  ;16,1;
BB;279;Frankfurt/Oder – Eisenhüttenstadt – Beeskow;103;1 679,4;193;184,2 ;90,9;178,5;110;16,1  ;4,7  ;8,7  ;15,3  ;36,3  ;18,9  ;6,1  ;10,0  ;52,8  ;44,7  ;+   4,2;2,2  ;40,4 ;23,2 ;10,4 ;26,0;0,3;36,3;539,9 ;88,2  ;5,4  ;435,2;356,4 ;2,9    ;32,9    ;15,7    ;48,5    ;16,9  ;19,7;
BB;280;Cottbus – Guben – Forst;81;1 463,0;248;235,2 ;115,0;228,9;161;16,2  ;4,6  ;8,2  ;15,8  ;36,0  ;19,1  ;6,0  ;10,5  ;56,8  ;56,1  ;-   3,8;1,9  ;53,7 ;27,2 ;6,1 ;13,0;0,3;61,6;547,5 ;88,1  ;4,4  ;446,3;388,0 ;2,3    ;30,2    ;21,0    ;46,4    ;16,8  ;20,9;
BB;281;Senftenberg – Calau – Spremberg;107;1 565,4;208;195,5 ;96,1;190,7;125;15,6  ;4,5  ;8,0  ;15,2  ;35,6  ;21,2  ;5,7  ;12,1  ;17,6  ;22,4  ;-  11,2;2,6  ;49,4 ;27,4 ;8,0 ;15,2;0,3;89,5;543,7 ;88,0  ;2,4  ;440,8;337,2 ;2,4    ;52,1    ;12,4    ;33,1    ;20,8  ;25,4;
BB;282;Bad Liebenwerda – Finsterwalde – Herzberg – Lübben – Luckau;234;3 421,0;204;195,4 ;95,8;192,3;57;15,8  ;4,5  ;8,1  ;14,8  ;34,9  ;21,9  ;5,6  ;12,3  ;20,7  ;18,4  ;-   4,4;4,8  ;48,9 ;21,6 ;8,1 ;21,3;0,6;38,6;579,6 ;84,8  ;1,9  ;423,0;293,7 ;7,1    ;39,1    ;17,2    ;36,6    ;18,7  ;23,2;
BB;912;Land insgesamt;1 696;29 475,7;2 603;2 554,4 ;1 257,2;2 496,4;87;16,1  ;4,5  ;7,9  ;15,3  ;36,3  ;20,0  ;5,9  ;10,8  ;51,4  ;41,7  ;+   4,9;3,0  ;38,1 ;20,8 ;11,0 ;30,0;0,4;39,7;558,8 ;86,8  ;7,1  ;433,3;332,6 ;4,1    ;34,7    ;18,5    ;42,7    ;17,0  ;20,2;
ST;283;Altmark;245;4 324,4;250,0;240,7 ;118,8;235,5;56;17,5  ;4,4  ;7,8  ;15,8  ;34,4  ;20,1  ;6,7  ;11,1  ;28,1  ;27,2  ;-   3,4;5,1  ;20,0 ;18,6 ;12,0 ;49,4;0,3;22,6;556,5 ;85,5  ;7,6  ;430,9;292,2 ;7,4    ;31,6    ;18,1    ;42,9    ;20,0  ;22,4;
ST;284;Elbe-Havel-Gebiet und Haldensleben – Wolmirstedt;179;3 221,1;222,6;226,1 ;111,1;222,8;70;16,1  ;4,4  ;7,8  ;15,5  ;35,8  ;20,3  ;5,9  ;11,4  ;47,6  ;25,9  ;+  16,2;3,2  ;27,1 ;15,9 ;12,2 ;44,8;0,5;39,9;558,9 ;86,4  ;17,1  ;421,0;293,5 ;4,2    ;41,7    ;18,4    ;35,6    ;17,5  ;20,0;
ST;285;Harz und Vorharzgebiet ;92;1 827,1;229,4;217,6 ;105,6;214,4;119;15,2  ;4,2  ;7,6  ;14,8  ;35,7  ;22,5  ;5,7  ;11,5  ;28,2  ;25,9  ;-   3,6;1,6  ;26,6 ;11,9 ;7,2 ;54,3;0,4;42,0;519,6 ;88,1  ;4,7  ;436,8;293,8 ;4,2    ;33,6    ;19,2    ;43,0    ;19,8  ;22,8;
ST;286;Magdeburg ;1;136,1;218,4;200,0 ;96,3;193,6;1 470;14,3  ;3,7  ;7,6  ;15,9  ;36,9  ;21,6  ;6,0  ;11,3  ;28,9  ;50,0  ;-  26,4;0,1  ;46,4 ;25,0 ;7,1 ;21,4;0,3;45,5;491,8 ;89,9  ;6,9  ;529,7;392,6 ;1,0    ;32,5    ;19,2    ;47,2    ;19,3  ;22,5;
ST;287;Magdeburg – Schönebeck – Wanzleben – Staßfurt;79;1 311,4;250,6;229,7 ;111,2;227,0;175;15,5  ;4,1  ;7,3  ;15,1  ;35,5  ;22,5  ;6,1  ;12,0  ;31,6  ;24,0  ;+   1,7;2,3  ;23,6 ;10,2 ;10,2 ;56,0;0,4;30,1;510,0 ;87,4  ;9,0  ;446,8;siehe Wkr 286;siehe Wkr 286;siehe Wkr 286;siehe Wkr 286;siehe Wkr 286;siehe Wkr 286;siehe Wkr 286;
ST;288;Wittenberg – Gräfenhainichen – Jessen – Roßlau – Zerbst;150;2 805,1;232,0;221,7 ;107,5;218,8;79;15,7  ;4,2  ;7,7  ;14,9  ;35,9  ;21,6  ;5,8  ;12,6  ;26,5  ;23,8  ;-   4,2;2,7  ;35,6 ;16,8 ;10,7 ;36,9;0,5;41,0;553,0 ;86,8  ;4,0  ;430,3;295,9 ;5,9    ;41,7    ;15,1    ;37,2    ;19,3  ;21,1;
ST;289;Dessau – Bitterfeld ;42;580,7;218,7;203,3 ;97,8;199,6;350;14,5  ;4,0  ;7,7  ;14,6  ;36,8  ;22,4  ;5,7  ;12,0  ;28,0  ;29,3  ;-   7,6;0,6  ;41,9 ;22,5 ;6,2 ;29,5;0,5;62,1;513,9 ;88,3  ;5,7  ;473,3;346,2 ;1,8    ;38,5    ;17,4    ;42,3    ;19,9  ;24,5;
ST;290;Bernburg – Aschersleben – Quedlinburg;81;1 275,2;223,7;206,7 ;99,9;204,8;162;15,1  ;4,1  ;7,5  ;14,6  ;36,0  ;22,7  ;5,6  ;12,7  ;24,0  ;24,6  ;-   7,6;1,5  ;33,6 ;12,1 ;7,0 ;47,3;0,6;46,6;498,7 ;87,7  ;5,0  ;448,7;305,0 ;3,4    ;35,4    ;14,9    ;46,4    ;22,4  ;26,2;
ST;291;Halle-Altstadt;1;110,9;221;193,5 ;91,9;188,1;1 745;14,8  ;4,0  ;8,3  ;16,2  ;36,4  ;20,3  ;6,7  ;10,9  ;32,6  ;50,7  ;-  22,3;0,1  ;59,3 ;18,5 ;3,7 ;18,5;0,3;38,1;434,3 ;90,4  ;3,6  ;515,8;377,4 ;1,3    ;29,4    ;20,3    ;49,0    ;16,3  ;21,0;
ST;292;Halle-Neustadt – Saalkreis – Köthen;103;1 122,3;231,8;227,5 ;110,7;223,2;203;15,5  ;4,4  ;8,1  ;14,8  ;35,8  ;21,4  ;5,7  ;12,2  ;60,4  ;28,6  ;+  25,2;2,3  ;39,7 ;14,5 ;8,2 ;37,6;0,6;44,6;526,5 ;85,6  ;5,2  ;412,4;siehe Wkr 291;siehe Wkr 291;siehe Wkr 291;siehe Wkr 291;siehe Wkr 291;siehe Wkr 291;siehe Wkr 291;
ST;293;Merseburg – Querfurt – Weißenfels;86;1 070,0;209,8;201,1 ;98,0;197,1;188;14,7  ;4,0  ;7,4  ;15,1  ;35,4  ;23,5  ;5,8  ;13,0  ;35,4  ;33,8  ;-   5,7;1,3  ;42,8 ;13,5 ;10,4 ;33,3;0,5;63,7;533,5 ;86,7  ;4,9  ;450,9;352,7 ;3,1    ;44,9    ;16,6    ;35,3    ;17,6  ;22,8;
ST;294;Zeitz – Hohenmölsen – Naumburg – Nebra;114;1 196,6;183,9;171,6 ;82,6;170,0;143;14,9  ;4,1  ;7,3  ;14,3  ;35,5  ;23,8  ;5,4  ;12,7  ;20,2  ;20,4  ;-   7,4;2,9  ;44,7 ;19,2 ;9,1 ;26,9;0,5;55,7;545,4 ;86,2  ;4,5  ;457,9;288,3 ;3,9    ;41,6    ;17,4    ;37,1    ;20,4  ;25,9;
ST;295;Eisleben – Sangerhausen – Hettstedt;126;1 466,7;198,9;184,2 ;89,3;183,1;126;15,1  ;4,2  ;7,6  ;13,9  ;35,7  ;23,5  ;5,5  ;13,3  ;21,2  ;22,0  ;-   8,6;2,0  ;39,5 ;16,3 ;6,8 ;37,4;0,4;32,5;527,4 ;87,9  ;2,0  ;432,9;279,3 ;4,1    ;37,4    ;16,9    ;41,6    ;20,7  ;25,8;
ST;915;Land insgesamt;1 299;20 447,5;2 890,5;2 723,6 ;1 320,6;2 678,2;133;15,3  ;4,1  ;7,7  ;15,1  ;35,9  ;21,9  ;5,9  ;12,0  ;31,3  ;30,8  ;-   5,6;1,9  ;31,2 ;16,1 ;10,0 ;42,8;0,4;43,2;518,0 ;87,5  ;6,2  ;456,7;330,1 ;3,1    ;35,7    ;18,1    ;43,1    ;19,1  ;22,8;
TH;296;Nordhausen – Worbis – Heiligenstadt;145;1 650,7;223,1;218,3 ;107,1;214,7;132;17,3  ;4,6  ;8,6  ;15,0  ;34,7  ;19,8  ;6,8  ;10,4  ;19,7  ;21,2  ;-   5,2;2,9  ;49,9 ;21,8 ;6,5 ;21,8;0,5;38,7;547,8 ;87,1  ;3,3  ;391,0;305,5 ;3,4    ;38,3    ;17,1    ;41,2    ;18,0  ;21,4;
TH;297;Eisenach – Mühlhausen;56;1 281,7;200,3;190,4 ;92,9;187,5;149;15,9  ;4,4  ;7,9  ;14,9  ;35,5  ;21,3  ;6,4  ;11,5  ;26,6  ;25,7  ;-   4,3;3,0  ;41,3 ;28,3 ;8,1 ;22,3;0,6;51,8;543,9 ;86,8  ;8,1  ;421,4;331,0 ;5,0    ;41,0    ;17,7    ;36,3    ;16,9  ;18,9;
TH;298;Sömmerda – Artern – Sondershausen – Langensalza;123;2 134,0;215,6;204,7 ;99,9;202,8;96;15,9  ;4,5  ;8,1  ;14,6  ;36,1  ;20,8  ;6,2  ;11,4  ;22,3  ;21,2  ;-   4,1;3,6  ;42,1 ;20,8 ;8,4 ;28,6;0,4;26,2;536,2 ;85,9  ;3,8  ;413,3;279,5 ;5,4    ;37,5    ;15,0    ;42,1    ;19,5  ;25,6;
TH;299;Gotha – Arnstadt ;77;1 275,7;202,6;193,8 ;94,0;192,0;152;15,3  ;4,1  ;7,8  ;14,9  ;36,6  ;21,4  ;6,3  ;11,6  ;26,5  ;17,7  ;+   3,5;1,4  ;43,7 ;21,8 ;7,3 ;27,2;0,7;49,4;542,2 ;87,2  ;6,9  ;440,7;323,5 ;3,0    ;40,5    ;16,9    ;39,6    ;17,4  ;20,8;
TH;300;Erfurt;1;107,6;211;186,3 ;88,8;183,8;1 731;15,1  ;4,2  ;8,1  ;16,0  ;36,9  ;19,8  ;6,2  ;10,1  ;26,6  ;36,8  ;-  14,1;0,5  ;46,6 ;20,4 ;10,7 ;22,3;0,3;34,5;522,6 ;87,9  ;8,0  ;492,7;429,9 ;2,6    ;28,6    ;19,4    ;49,4    ;15,9  ;19,3;
TH;301;Weimar – Apolda – Erfurt–Land;110;1 369,2;197,8;205,9 ;100,8;202,6;150;15,8  ;4,3  ;8,5  ;15,5  ;35,4  ;20,5  ;7,1  ;11,0  ;46,7  ;36,3  ;+   6,5;2,0  ;41,9 ;23,9 ;8,6 ;25,6;0,5;34,4;537,7 ;86,3  ;12,5  ;443,4;siehe Wkr 300;siehe Wkr 300;siehe Wkr 300;siehe Wkr 300;siehe Wkr 300;siehe Wkr 300;siehe Wkr 300;
TH;302;Jena – Rudolstadt – Stadtroda;122;1 161,9;233,4;224,3 ;109,2;220,0;193;15,2  ;4,2  ;8,2  ;15,3  ;36,1  ;21,1  ;6,1  ;11,4  ;40,7  ;37,3  ;-   1,9;1,6  ;38,2 ;30,7 ;7,3 ;23,7;0,5;53,6;541,1 ;87,0  ;8,3  ;442,2;351,4 ;3,0    ;34,7    ;14,8    ;47,4    ;16,8  ;19,2;
TH;303;Gera-Stadt – Eisenberg – Gera-Land I;53;642,8;200,8;185,8 ;89,7;184,2;289;14,8  ;4,2  ;7,7  ;15,1  ;36,9  ;21,2  ;5,3  ;12,1  ;25,9  ;38,9  ;-  19,8;0,6  ;46,2 ;24,4 ;10,3 ;19,2;0,3;27,2;512,3 ;89,5  ;4,7  ;499,7;348,4 ;3,3    ;32,6    ;17,9    ;46,2    ;17,2  ;20,6;
TH;304;Altenburg – Schmölln – Greiz – Gera-Land II;75;930,9;196,4;180,6 ;86,8;178,8;194;14,5  ;4,1  ;7,6  ;14,1  ;35,9  ;23,7  ;5,7  ;12,6  ;24,0  ;23,8  ;-   6,7;2,8  ;43,0 ;23,0 ;8,5 ;25,5;0,6;41,2;564,3 ;86,4  ;5,6  ;468,7;292,4 ;3,6    ;43,5    ;16,5    ;36,4    ;19,8  ;24,0;
TH;305;Saalfeld – Pößneck – Schleiz – Lobenstein – Zeulenroda;165;1 760,9;199,0;191,8 ;93,3;188,9;109;15,8  ;4,3  ;7,9  ;14,4  ;35,2  ;22,4  ;5,6  ;12,1  ;20,5  ;20,4  ;-   6,3;4,4  ;48,4 ;25,6 ;7,8 ;18,2;0,8;61,9;633,9 ;83,2  ;6,4  ;418,7;323,7 ;4,6    ;44,6    ;15,9    ;34,9    ;16,1  ;20,8;
TH;306;Meiningen – Bad Salzungen – Hildburghausen – Sonneberg;135;2 334,0;270,3;260,3 ;127,3;257,5;112;15,6  ;4,3  ;7,9  ;14,6  ;35,6  ;22,0  ;5,8  ;12,3  ;21,5  ;19,2  ;-   4,2;2,0  ;54,6 ;21,0 ;4,8 ;19,6;0,8;59,9;579,9 ;86,8  ;5,9  ;413,7;283,1 ;3,9    ;42,8    ;14,5    ;38,8    ;14,8  ;17,1;
TH;307;Suhl – Schmalkalden – Ilmenau – Neuhaus;81;1 521,5;264,9;248,9 ;120,9;244,7;164;15,3  ;4,3  ;7,8  ;14,9  ;36,7  ;21,1  ;5,8  ;11,3  ;22,3  ;23,2  ;-   6,4;1,8  ;41,6 ;28,4 ;6,7 ;23,3;0,6;50,0;551,6 ;87,1  ;6,4  ;433,8;313,2 ;3,5    ;41,2    ;15,9    ;39,4    ;16,3  ;19,1;
TH;916;Land insgesamt;1 143;16 170,9;2 614,8;2 491,1 ;1 210,7;2 457,5;154;15,5  ;4,3  ;8,0  ;15,0  ;36,0  ;21,2  ;6,1  ;11,4  ;27,4  ;27,2  ;-   5,1;2,2  ;44,0 ;24,9 ;7,7 ;23,5;0,6;44,8;548,3 ;86,8  ;6,8  ;439,0;332,5 ;3,6    ;37,3    ;16,8    ;42,3    ;17,0  ;20,4;
SN;308;Delitzsch – Eilenburg – Torgau – Wurzen;68;1 838,0;207,1;206,1 ;101,0;201,9;112;16,6  ;4,5  ;8,3  ;15,3  ;34,8  ;20,5  ;6,0  ;11,1  ;33,5  ;23,9  ;+   4,4;2,6  ;29,3 ;18,0 ;14,0 ;38,8;0,5;50,4;567,4 ;85,0  ;9,9  ;418,9;308,4 ;5,1    ;41,7    ;20,4    ;32,8    ;15,9  ;21,4;
SN;309;Leipzig I;1;73,7;513,6;229,5 ;110,1;219,0;3 114;13,1  ;3,5  ;7,5  ;16,3  ;36,6  ;23,1  ;5,8  ;12,4  ;40,8  ;65,3  ;-  31,2;0,6  ;48,9 ;21,3 ;8,4 ;21,3;0,3;25,0;438,9 ;90,3  ;6,3  ;560,9;418,4 ;0,3    ;25,8    ;17,1    ;56,8    ;13,5  ;17,6;
SN;310;Leipzig II;siehe Wkr 309;74,8;siehe Wkr 309;225,3 ;108,1;215,0;3 013;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;
SN;311;Leipzig-Land – Borna – Geithain;58;1 072,4;247,1;254,9 ;124,9;249,1;238;14,3  ;3,8  ;7,3  ;15,4  ;36,6  ;22,7  ;5,7  ;12,3  ;76,3  ;34,5  ;+  35,2;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;siehe Wkr 309;0,5;52,7;562,2 ;85,8  ;13,8  ;448,2;337,2 ;2,5    ;47,0    ;19,2    ;31,3    ;15,3  ;18,5;
SN;312;Döbeln – Grimma – Oschatz;44;1 341,2;201,2;192,7 ;93,2;190,5;144;15,7  ;4,3  ;7,7  ;14,6  ;34,8  ;22,8  ;5,5  ;12,4  ;38,0  ;24,2  ;+   6,9;2,3  ;38,1 ;18,0 ;11,3 ;32,6;0,7;43,8;563,3 ;86,0  ;4,8  ;439,5;307,7 ;4,6    ;42,2    ;18,1    ;35,1    ;16,8  ;22,3;
SN;313;Meißen – Riesa – Großenhain;52;1 326,2;245,1;234,0 ;112,9;229,6;176;15,4  ;4,4  ;7,7  ;14,4  ;35,3  ;22,8  ;5,6  ;11,7  ;38,9  ;29,2  ;+   3,6;3,0  ;38,8 ;24,2 ;12,2 ;24,7;0,5;62,7;538,0 ;86,3  ;6,6  ;440,9;314,2 ;4,7    ;44,9    ;16,1    ;34,3    ;17,4  ;21,2;
SN;314;Hoyerswerda – Kamenz – Weißwasser;54;1 809,1;225,3;210,6 ;103,8;206,6;116;16,3  ;4,5  ;8,3  ;14,5  ;35,2  ;21,1  ;5,8  ;10,6  ;38,6  ;32,3  ;+   1,5;2,5  ;56,5 ;23,1 ;6,9 ;13,5;0,6;49,9;556,3 ;87,5  ;4,5  ;424,6;301,1 ;5,7    ;43,4    ;14,0    ;37,0    ;18,1  ;22,6;
SN;315;Görlitz – Zittau – Niesky;45;1 161,7;223,0;204,1 ;98,3;200,6;176;15,8  ;4,4  ;8,0  ;14,0  ;34,7  ;23,1  ;6,4  ;12,3  ;26,6  ;28,4  ;-   7,7;2,0  ;44,9 ;18,0 ;8,4 ;28,7;0,4;39,2;526,6 ;88,2  ;2,1  ;457,1;303,1 ;3,2    ;41,4    ;14,2    ;41,2    ;17,9  ;22,9;
SN;316;Bautzen – Löbau ;54;1 090,5;215,2;201,1 ;97,2;198,3;184;16,2  ;4,6  ;8,4  ;14,0  ;34,4  ;22,4  ;6,3  ;11,6  ;23,3  ;20,0  ;-   2,0;2,4  ;42,7 ;25,9 ;8,5 ;22,8;0,6;49,2;563,2 ;87,1  ;4,5  ;423,2;331,2 ;2,9    ;42,6    ;15,4    ;39,1    ;17,3  ;21,4;
SN;317;Pirna – Sebnitz – Bischofswerda;55;1 193,5;219,9;212,0 ;103,0;208,8;178;14,8  ;4,1  ;7,8  ;14,4  ;35,4  ;23,5  ;6,2  ;11,6  ;35,9  ;24,4  ;+   6,1;3,2  ;45,2 ;25,0 ;12,4 ;17,4;0,5;38,2;545,7 ;87,0  ;7,7  ;452,9;290,2 ;3,3    ;48,2    ;12,6    ;35,8    ;16,1  ;19,8;
SN;318;Dresden I;1;79,8;493,2;221,9 ;106,7;214,0;2 780;14,0  ;3,9  ;8,6  ;16,1  ;35,1  ;22,2  ;6,4  ;10,8  ;41,3  ;53,8  ;-  16,9;1,1  ;52,6 ;20,0 ;8,7 ;18,7;0,4;38,1;492,6 ;89,6  ;10,0  ;521,2;458,9 ;1,2    ;25,0    ;18,3    ;55,6    ;12,0  ;16,2;
SN;319;Dresden II;siehe Wkr 318;146,0;siehe Wkr 318;239,4 ;115,1;231,0;1 640;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;
SN;320;Dresden-Land – Freital – Dippoldiswalde;55;1 123,5;221,2;232,4 ;113,9;227,0;207;15,3  ;4,3  ;8,3  ;14,8  ;34,9  ;22,3  ;6,2  ;11,6  ;54,3  ;26,5  ;+  22,4;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;siehe Wkr 318;0,5;38,4;571,3 ;85,9  ;4,1  ;443,5;344,9 ;4,2    ;46,4    ;16,9    ;32,5    ;13,3  ;16,0;
SN;321;Freiberg – Brand-Erbisdorf – Flöha – Marienberg;58;1 360,9;226,5;218,6 ;106,0;215,3;161;15,7  ;4,4  ;8,2  ;13,9  ;34,5  ;23,3  ;6,0  ;11,5  ;28,1  ;20,6  ;+   2,0;3,4  ;44,3 ;27,4 ;10,7 ;17,6;0,7;40,0;557,5 ;86,3  ;6,7  ;437,0;289,8 ;4,6    ;44,3    ;13,8    ;37,3    ;16,9  ;20,4;
SN;322;Glauchau – Rochlitz – Hohenstein-Ernstthal – Hainichen;50;937,1;232,1;221,8 ;106,4;219,3;237;14,3  ;3,9  ;7,3  ;14,0  ;35,3  ;25,2  ;5,9  ;13,9  ;35,5  ;22,7  ;+   4,8;1,7  ;45,2 ;25,0 ;12,5 ;17,3;0,7;51,2;570,7 ;85,9  ;6,3  ;467,9;286,4 ;4,1    ;46,7    ;15,3    ;33,9    ;17,4  ;21,6;
SN;323;Chemnitz I;24;115,7;393,8;164,4 ;77,8;158,7;1 421;13,0  ;3,8  ;7,7  ;14,2  ;37,4  ;23,9  ;5,5  ;12,5  ;26,0  ;48,0  ;-  29,0;siehe Wkr 322;siehe Wkr 322;siehe Wkr 322;siehe Wkr 322;siehe Wkr 322;0,4;52,8;538,4 ;90,2  ;2,4  ;542,1;422,2 ;1,3    ;34,0    ;19,0    ;45,8    ;15,4  ;19,7;
SN;324;Chemnitz II – Chemnitz-Land;siehe Wkr 323;304,7;siehe Wkr 323;191,5 ;90,8;186,9;629;siehe Wkr 323;siehe Wkr 323;siehe Wkr 323;siehe Wkr 323;siehe Wkr 323;siehe Wkr 323;siehe Wkr 323;siehe Wkr 323;siehe Wkr 323;siehe Wkr 323;siehe Wkr 323;siehe Wkr 322;siehe Wkr 322;siehe Wkr 322;siehe Wkr 322;siehe Wkr 322;siehe Wkr 323;siehe Wkr 323;siehe Wkr 323;siehe Wkr 323;siehe Wkr 323;siehe Wkr 323;siehe Wkr 323;siehe Wkr 323;siehe Wkr 323;siehe Wkr 323;siehe Wkr 323;siehe Wkr 323;siehe Wkr 323;
SN;325;Annaberg – Stollberg – Zschopau;68;792,5;210,9;200,1 ;96,4;197,8;252;14,7  ;4,3  ;8,0  ;13,1  ;35,4  ;24,5  ;6,0  ;12,9  ;24,2  ;19,3  ;-   2,0;2,9  ;47,4 ;31,1 ;8,1 ;13,5;0,6;44,8;556,4 ;87,2  ;8,0  ;451,8;276,0 ;2,6    ;45,9    ;13,8    ;37,7    ;18,2  ;21,4;
SN;326;Aue – Schwarzenberg – Klingenthal;42;763,8;204,6;188,1 ;90,0;186,3;246;15,0  ;4,2  ;8,0  ;12,8  ;35,7  ;24,3  ;6,4  ;13,6  ;17,6  ;23,7  ;-  13,3;2,3  ;45,6 ;36,4 ;10,4 ;7,7;0,6;42,9;547,0 ;88,2  ;4,1  ;461,9;275,5 ;2,0    ;45,2    ;15,2    ;37,6    ;18,2  ;21,6;
SN;327;Zwickau – Werdau ;41;597,1;262,6;245,1 ;116,5;241,8;410;14,3  ;3,9  ;7,2  ;14,0  ;36,0  ;24,7  ;5,7  ;13,6  ;33,0  ;32,5  ;-   7,4;2,2  ;54,3 ;22,6 ;8,5 ;14,5;0,5;59,0;548,9 ;87,9  ;9,7  ;507,9;348,6 ;3,3    ;39,7    ;19,0    ;38,0    ;17,6  ;20,9;
SN;328;Reichenbach – Plauen – Auerbach – Oelsnitz;61;1 210,5;264,9;252,0 ;119,2;248,3;208;13,8  ;3,7  ;7,2  ;13,9  ;35,9  ;25,5  ;5,6  ;14,4  ;27,6  ;23,3  ;-   4,5;3,1  ;44,7 ;31,6 ;9,7 ;14,0;0,7;60,2;582,1 ;87,0  ;5,5  ;501,4;322,1 ;2,4    ;44,0    ;15,2    ;38,5    ;16,6  ;19,2;
SN;914;Land insgesamt;831;18 412,7;4 807,4;4 545,7 ;2 191,3;4 445,9;247;14,7  ;4,1  ;7,8  ;14,6  ;35,5  ;23,2  ;5,9  ;12,3  ;35,9  ;34,1  ;-   4,4;2,0  ;45,7 ;24,4 ;10,1 ;19,8;0,5;45,7;537,0 ;87,5  ;6,6  ;477,1;345,1 ;2,7    ;38,4    ;16,8    ;42,1    ;15,8  ;19,8;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
