© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Strukturdaten für die Wahlkreise zum 15. Deutschen Bundestag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wkr-Nr;Land;Wahlkreisnamen;Bemerkungen;Gemeinden am 30.12.2001;Fläche am 31.12.1999 (in km2);Bevölkerung am 31.12.1999 (in 1000);;;Bevölkerungsdichte am 31.12.1999 (Einwohner je km2);Bevölkerung im Alter von ... bis unter ... Jahren am 31.12.1999 (in %);;;;;;Bevölkerungsbewegung 1999 (je 1000 Einwohner);;;;;Landwirtschaft 1999;;Bergbau- und verarb. Gewerbe am 30.09.1999;;Bautätigkeit und Wohnungswesen (je 1000 Einwohner);;Kfz-Bestand am 31.07.2000 (je 1000 Einwohner);Schulabgänger nach Abschlussarten 1999;;;;;Arbeitslosenquote Ende Dezember;;Sozialversicherungspflichtig Beschäftigte am 31.12.2000;;;;
;;;;;;insgesamt;männlich;Deutsche;;unter 15;15 - 18;18 - 25;25 - 35;35 - 60;60 und mehr;Lebendgeborene;Gestorbene;Zuzüge;Fortzüge;Zu- bzw. Abnahme (-);Betriebe (je 1000 Einwohner);landwirtschaftlich genutzte Fläche (LF) (ha je Betrieb);Betriebe (je 1000 Einwohner);Beschäftigte (je 1000 Einwohner);Fertiggestellte Wohnungen 1999;Bestand an Wohnungen am 31.12.1999;;insgesamt (je 1000 Einwohner);ohne Hauptschulabschluss (in %);mit Hauptschulabschluss (in %);mit Realschulabschluss (in %);mit allgemeiner Hochschulreife (in %);2000;2001;insgesamt (je 1000 Einwohner);"Land- und Forstwirtschaft; Fischerei (in %)";Produzierendes Gewerbe (in %);"Handel u. Verkehr; Nachrichtenübermittlung (in %)";übrige Dienstleistungen (in %)
42;NI;Stadt Hannover II;Erläuterungen siehe Vorbemerkungen;1;91,3;264,2;126,3;222;2893;12,7;2,4;8,2;17,8;34,2;24,6;9,5;10,8;59,6;61,1;-2,8;0,1;38,5;0,4;97,7;8;547,2;474,8;9,4;10,2;14,1;40;32,2;13,3;10,6;561,3;0,2;23,3;19,7;56,8
43;NI;Hannover-Land I;Erläuterungen siehe Vorbemerkungen;8;1131,5;298,3;145,4;276,4;264;16;3,1;7;13,9;36,5;23,6;9,5;10;47,7;41;6,2;3,8;50;0,5;40,2;5,5;450,4;649,2;10,2;8,1;18,6;46,4;25;8,2;10,6;294,6;1,2;31,4;33,5;33,9
44;NI;Celle - Uelzen;;54;2998,7;278,7;135,1;263;93;16,8;3,2;7,4;13,7;33,8;25,1;9,9;11,7;36,6;32,1;2,7;7,7;60,2;0,5;43,4;7,2;446,8;655,7;11,1;10,1;26,7;43,7;17,5;11,5;11;260,2;2,2;29,9;22,1;45,8
45;NI;Gifhorn - Peine;;36;1823,8;277,6;137,4;259,6;152;18,3;3,5;7,1;14,4;35,4;21,4;11;9,7;42,4;32,1;11,6;7,1;52;0,4;50,7;9,3;418;673,6;9,7;8,6;23,2;51,1;15,7;10;10;218,4;0,9;40,2;20,4;38,5
46;NI;Hameln-Pyrmont - Holzminden;;42;1621,9;265;127,3;244,1;163;15,6;3,1;6,9;13,2;33,7;27,4;9,4;13,2;35,2;34,8;-3,4;5,4;50,9;0,6;82,2;5,7;469,9;653,7;9,9;11,2;24,4;46,7;17,1;12,1;12,2;291,6;1;39,5;17,1;42,4
47;NI;Hannover-Land II;Erläuterungen siehe Vorbemerkungen;12;954,6;301,2;146,6;282;316;16;3,1;7;13,9;36,5;23,6;9,5;10;47,7;41;6,2;3,8;50;0,5;40,2;5,5;450,4;649,2;10,2;8,1;18,6;46,4;25;8,2;10,6;224,2;1;31,8;28,4;38,8
48;NI;Hildesheim;;40;1205,4;292,5;141,1;275,2;243;15,7;3,1;7,2;14,4;34,5;25;9,2;11,7;29,8;28,5;-1,1;4,5;51,4;0,6;76,3;4,1;453,6;615,1;10,7;8,3;14,3;46;28,7;9,5;9,7;297,4;0,8;39,6;20,7;38,9
49;NI;Salzgitter - Wolfenbüttel;;44;1235,1;289,1;140,5;267,2;234;16,1;3,1;7;13,8;35,3;24,6;9,7;11,5;40,6;39,1;-0,3;3,2;80,7;0,4;126;6,3;460,5;612,7;9,4;9,9;21,4;49,7;18;12;11,2;287,9;0,8;50;15,6;33,7
50;NI;Braunschweig;;1;192,1;246,3;119,4;223,9;1282;13;2,5;8;16,7;34,2;25,6;8,9;11,8;61,3;62,1;-3,7;0,7;41,6;0,5;85,2;1,7;537,5;582,1;11,7;7,2;19,4;35,3;34,3;11,5;11,6;447;0,3;28,2;21,5;50,1
51;NI;Helmstedt - Wolfsburg;;40;1151,1;246,4;120,8;225,8;214;15,1;3,2;7,4;13,2;35;26,1;7,9;11,3;41,3;39,3;-1,3;3,2;70,1;0,3;249,8;4,4;471,7;676,2;11,6;7,6;17,3;47,5;25,4;11,2;10,2;454,3;0,6;61;11,8;26,6
52;NI;Goslar - Northeim - Osterode;;32;2299,1;287,7;139,2;268,2;125;14,8;3;7;13,3;33,9;28;8,9;13,1;34,3;34,5;-4,5;5,8;43,7;0,8;85,8;4;485,7;655,2;10,1;10,4;21,7;44,3;22,3;12,8;12,8;307,8;1,9;40,4;17,8;39,9
53;NI;Göttingen;;32;1263,7;302,3;147,2;280,7;239;15,3;3;9,4;17,2;34;21,2;9,5;9,4;177,2;179,1;-1,9;5;43,2;0,6;68,3;5,3;451,3;581,5;10,9;9;16,8;41,6;31,2;12;12,1;338,8;0,8;30,4;18,4;50,5
;NI;Land insgesamt;;1026;47614,3;7898,8;3861,6;7371;166;16,6;3,2;7,5;14,8;34,5;23,3;10,2;10,5;52;47,6;4,2;8,3;40,5;0,5;71;7;445,7;649,1;10,8;9,3;22;44,8;21,8;10,2;10,2;307,9;1,3;35,7;21,6;41,5
54;HB;Bremen I;Erläuterungen siehe Vorbemerkungen;1;153,8;335,2;160;293,7;2180;13,7;2,7;7,5;15,7;35,3;25,1;9,1;11,4;42,2;45,3;-5,5;0,4;35,8;0,5;107,4;3,3;517,5;506,9;10,1;8,2;19,5;40,2;31,8;12,6;12,3;448,8;0,3;29,9;26,5;43,2
