"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"log_lik[1698]",2.849290967275,2.851421,0.0336660528551325,0.0332994183900002,2.79107736,2.90238206,1.00061294002315,4163.82478608659,3639.08508223347
"log_lik[1699]",2.972673763775,2.9742063,0.016804090842569,0.0166229112,2.94298928,2.99808464,1.00028563616992,4625.07949255072,3689.70525368273
"log_lik[1700]",2.93339687835,2.93511635,0.0235126514615738,0.0229616192399994,2.89230541,2.970193635,1.00038728298716,4329.71871939351,3746.77539637216
"log_lik[1701]",2.94926806715,2.950937,0.0210598315461189,0.0207217071599998,2.912217775,2.98180708,1.0002912320676,4410.47752466395,3747.17587599017
"log_lik[1702]",2.707258505825,2.70986595,0.0460350076390534,0.04510625175,2.62812516,2.7807792,1.00069646729998,4103.02568394673,3483.64140757963
"log_lik[1703]",2.71673576535,2.71936535,0.0453124367308418,0.0443444177400004,2.638983115,2.788828575,1.00068025165327,4105.24856525657,3651.41604186172
"log_lik[1704]",2.830217221475,2.8324514,0.0355721688743217,0.0351822462600001,2.76888945,2.8865891,1.00053724074731,4149.25652188573,3674.12822474203
"log_lik[1705]",2.8791079857,2.8809582,0.0304521554374303,0.0300205002299997,2.826485435,2.927104295,1.00070511143872,4197.01180075872,3656.62079623485
"log_lik[1706]",2.46568677895,2.4684435,0.0617497286176221,0.0606077243100003,2.36095149,2.566525325,1.00092620322936,4081.88259269262,3301.29373466794
"log_lik[1707]",2.781883887225,2.78434675,0.0400046323775392,0.0392422722300002,2.71282182,2.845745965,1.00063548439437,4124.10947111671,3711.17695391565
"log_lik[1708]",2.5347122585,2.53759715,0.0576783180592983,0.0564898028100001,2.43644168,2.628850125,1.00081672134152,4084.081583411,3217.15023626156
"log_lik[1709]",2.73201230925,2.7344782,0.0441235924699612,0.0432070411499995,2.656345285,2.802297125,1.00066011180539,4108.84441017666,3638.80918781103
"log_lik[1710]",2.776653353925,2.7791153,0.0404558021704289,0.0397413895200001,2.70683664,2.84117434,1.00066870664333,4121.78065779388,3710.43892389152
"log_lik[1711]",2.795256802,2.79768065,0.0388278653186748,0.0380953328700002,2.728419195,2.857238825,1.00057624254984,4129.52446032475,3710.69443047283
"log_lik[1712]",2.78330567065,2.78575285,0.0398811324885424,0.0391018700100002,2.71447865,2.846985005,1.00063206691149,4124.68287210415,3711.17695391565
"log_lik[1713]",2.53627964175,2.53918735,0.0575827100356611,0.0563683037399995,2.438200835,2.63031379,1.00081445613784,4084.22470971302,3217.15023626156
"log_lik[1714]",2.937356013375,2.93913225,0.0229252422258166,0.0224389286100002,2.897149905,2.97306123,1.00042811636146,4344.24627811386,3784.08193564751
"log_lik[1715]",2.985870204775,2.98703325,0.0138399323542107,0.0135296886900001,2.96108882,3.006295025,1.00035287073526,4879.02755103354,3796.38145105784
"log_lik[1716]",2.971038928375,2.9726339,0.0171356458765837,0.01689971262,2.94079853,2.997039365,1.00027471526607,4609.77691883677,3690.00117117175
"log_lik[1717]",2.879741511175,2.8815742,0.0303802322912046,0.0299673490200001,2.82722941,2.9276142,1.00069159694027,4197.91038893931,3656.62079623485
"log_lik[1718]",2.93694917585,2.9387231,0.0229862925447619,0.0225184700999997,2.896667335,2.97278052,1.00042805380611,4343.77491064896,3784.08193564751
"log_lik[1719]",2.882815602925,2.8846556,0.0300288195279132,0.0296760922499998,2.830962685,2.930169895,1.00072428675963,4202.18774551019,3656.33010314678
"log_lik[1720]",2.981965769925,2.9833491,0.0147790402183696,0.0145643952299999,2.955632355,3.004044425,1.00030083701768,4802.09118873194,3701.86444369848
"log_lik[1721]",3.0015416309,3.0019165,0.0091419672588243,0.0089165046599997,2.985543835,3.015554485,1.00113523489237,5773.99766862941,3249.05130476212
"log_lik[1722]",2.880958549375,2.8821242,0.0302450601491493,0.0295660092000002,2.827769315,2.92871278,1.00054044027474,4148.21985160701,3598.12474051317
"log_lik[1723]",2.9725456749,2.9739627,0.0167939072894214,0.01635077997,2.942176255,2.997464545,1.00047664568096,4541.3498665079,3703.17682405819
"log_lik[1724]",2.957250550325,2.958929,0.0197116790709049,0.01933466073,2.92233921,2.98752195,1.00031761215389,4472.8207901643,3798.38849554833
"log_lik[1725]",2.950175380425,2.9518297,0.0209109592093585,0.0206078434799999,2.91345609,2.98247111,1.0003094819933,4417.12345266451,3747.17587599017
"log_lik[1726]",3.0030318817,3.00326715,0.00856018314501005,0.00834414692999983,2.98815378,3.01622591,1.00163025537382,6056.3919702565,3112.31993527426
"log_lik[1727]",2.77787764405,2.78034395,0.0403506398677502,0.0396146272200005,2.708179645,2.842250515,1.00068535994035,4122.03337954152,3710.43892389152
"log_lik[1728]",2.395172452675,2.39777095,0.0656631940791665,0.06442682778,2.28374939,2.50192818,1.00092186210526,4082.65424636282,3304.50864841541
"log_lik[1729]",2.623197942375,2.62582725,0.0520204075297758,0.0508321270800002,2.534050745,2.70750161,1.00067419975374,4090.02446278826,3272.86402836722
"log_lik[1730]",2.9762758269,2.97778275,0.0160494325805641,0.01593780174,2.9478598,3.000450105,1.00025402532305,4722.87559578956,3649.43127854458
"log_lik[1731]",2.89876130875,2.90055515,0.0281364986357321,0.0277304021399997,2.8501044,2.94315712,1.00069225945155,4228.80868924255,3656.33010314678
"log_lik[1732]",2.7377826417,2.74021795,0.0436663679229628,0.0427340917500002,2.662781815,2.807386975,1.00064725536146,4110.35448848163,3710.18154784452
"log_lik[1733]",2.969963422525,2.9715347,0.0173503128282012,0.0171154309200002,2.939274385,2.99631346,1.00029200208775,4598.68162680187,3689.82157041617
"log_lik[1734]",2.9576343234,2.95929085,0.0196445405922387,0.0192474838500001,2.922863855,2.98776795,1.00033866207955,4475.36390027562,3798.38849554833
"log_lik[1735]",2.659038391,2.6616716,0.0495536818785768,0.0483699732599999,2.57406308,2.739340515,1.00059146745618,4094.75757242204,3330.38228698373
"log_lik[1736]",2.515673788275,2.51845075,0.0588278824694421,0.0574970071200001,2.41567378,2.61161237,1.0009091833646,4082.99292956996,3217.15023626156
